dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2024-03-30,1,Norrköping,Malmö,1,5,13028,PlatinumCars Arena
2024-03-31,1,Hammarby,Kalmar,3,1,29882,Tele2 Arena
2024-03-31,1,GAIS,Brommapojkarna,0,4,8077,Gamla Ullevi (1916)
2024-03-31,1,BK Häcken,Mjällby,0,1,3631,Bravida Arena
2024-04-01,1,Göteborg,Djurgården,1,4,17879,Gamla Ullevi (1916)
2024-04-01,1,Sirius,Halmstad,3,0,6449,Studenternas IP
2024-04-01,1,AIK Stockholm,Västerås,1,0,36602,Strawberry Arena
2024-04-01,1,Elfsborg,Värnamo,2,2,9089,Borås Arena
2024-04-06,2,Brommapojkarna,AIK Stockholm,2,2,3489,Tele2 Arena
2024-04-06,2,Mjällby,Norrköping,3,0,2851,Strandvallen A-Plan
2024-04-07,2,Malmö,Hammarby,2,0,21357,Eleda Stadion
2024-04-07,2,Halmstad,Göteborg,1,0,10011,Örjans Vall
2024-04-07,2,Västerås,Elfsborg,0,1,7009,Hitachi Energy Arena
2024-04-08,2,Kalmar,Sirius,1,2,5731,Guldfågeln Arena
2024-04-08,2,Värnamo,GAIS,1,2,1683,Finnvedsvallen
2024-04-08,2,Djurgården,BK Häcken,3,3,22485,Tele2 Arena
2024-04-13,3,Mjällby,AIK Stockholm,1,1,4138,Strandvallen A-Plan
2024-04-13,3,Västerås,Halmstad,0,1,4664,Hitachi Energy Arena
2024-04-14,3,Kalmar,Göteborg,0,1,6576,Guldfågeln Arena
2024-04-14,3,Norrköping,GAIS,1,0,6027,PlatinumCars Arena
2024-04-14,3,Djurgården,Sirius,2,0,19486,Tele2 Arena
2024-04-15,3,BK Häcken,Brommapojkarna,4,3,3265,Bravida Arena
2024-04-15,3,Värnamo,Malmö,0,4,1371,Finnvedsvallen
2024-04-15,3,Hammarby,Elfsborg,3,0,21709,Tele2 Arena
2024-04-20,4,Göteborg,Norrköping,1,1,16861,Gamla Ullevi (1916)
2024-04-20,4,Sirius,Värnamo,0,1,5174,Studenternas IP
2024-04-20,4,Malmö,Västerås,1,0,20118,Eleda Stadion
2024-04-21,4,AIK Stockholm,Djurgården,2,0,44734,Strawberry Arena
2024-04-21,4,GAIS,Mjällby,2,1,5105,Gamla Ullevi (1916)
2024-04-21,4,BK Häcken,Hammarby,2,1,6073,Bravida Arena
2024-04-21,4,Halmstad,Brommapojkarna,0,2,5073,Örjans Vall
2024-04-22,4,Elfsborg,Kalmar,1,2,5672,Borås Arena
2024-04-24,5,AIK Stockholm,Värnamo,2,0,18054,Strawberry Arena
2024-04-24,5,Göteborg,BK Häcken,0,1,17022,Gamla Ullevi (1916)
2024-04-24,5,Brommapojkarna,Sirius,1,1,608,Grimsta IP
2024-04-25,5,Djurgården,Malmö,0,1,23010,Tele2 Arena
2024-04-25,5,Norrköping,Elfsborg,4,2,5042,PlatinumCars Arena
2024-04-25,5,Kalmar,GAIS,2,3,3835,Guldfågeln Arena
2024-04-25,5,Västerås,Mjällby,2,1,3468,Hitachi Energy Arena
2024-04-25,5,Halmstad,Hammarby,2,1,5712,Örjans Vall
2024-04-28,6,Malmö,AIK Stockholm,5,0,21495,Eleda Stadion
2024-04-28,6,Värnamo,Halmstad,1,3,1237,Finnvedsvallen
2024-04-28,6,Djurgården,GAIS,1,0,17579,Tele2 Arena
2024-04-28,6,BK Häcken,Norrköping,1,2,4046,Bravida Arena
2024-04-29,6,Elfsborg,Sirius,2,0,5144,Borås Arena
2024-04-29,6,Mjällby,Kalmar,3,2,2720,Strandvallen A-Plan
2024-04-29,6,Brommapojkarna,Göteborg,0,3,2289,Grimsta IP
2024-04-29,6,Hammarby,Västerås,2,1,21662,Tele2 Arena
2024-05-04,7,Mjällby,Brommapojkarna,1,1,3236,Strandvallen A-Plan
2024-05-04,7,Kalmar,Halmstad,5,2,4735,Guldfågeln Arena
2024-05-04,7,Sirius,BK Häcken,0,3,5459,Studenternas IP
2024-05-05,7,Västerås,Djurgården,0,2,8714,Hitachi Energy Arena
2024-05-05,7,Elfsborg,Malmö,3,1,11145,Borås Arena
2024-05-05,7,AIK Stockholm,Norrköping,6,2,24177,Strawberry Arena
2024-05-05,7,Hammarby,Värnamo,1,2,20116,Tele2 Arena
2024-05-06,7,GAIS,Göteborg,2,1,16646,Gamla Ullevi (1916)
2024-05-11,8,Halmstad,Mjällby,1,3,5207,Örjans Vall
2024-05-11,8,AIK Stockholm,Sirius,1,3,25289,Strawberry Arena
2024-05-11,8,GAIS,Västerås,2,0,5905,Gamla Ullevi (1916)
2024-05-12,8,BK Häcken,Kalmar,3,1,5143,Bravida Arena
