dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2025-03-29,1,Strømsgodset,Rosenborg,1,2,8332,Marienlyst stadion
2025-03-29,1,Fredrikstad,Brann,3,0,10788,Fredrikstad stadion
2025-03-30,1,Vålerenga,Viking,3,1,14859,Intility Arena
2025-03-30,1,HamKam,Kristiansund,2,1,3316,Briskeby
2025-03-30,1,KFUM,Sandefjord Fotball,3,1,1806,KFUM-Arena
2025-03-30,1,Molde,Sarpsborg 08,0,2,5829,Aker stadion
2025-03-30,1,Tromsø,Haugesund,1,0,4324,Romssa Arena
2025-03-30,1,Bryne,Bodø/Glimt,0,1,5151,Bryne stadion
2025-04-05,2,Bodø/Glimt,HamKam,3,0,6005,Aspmyra stadion
2025-04-05,2,Rosenborg,Fredrikstad,1,0,16325,Lerkendal stadion
2025-04-06,2,Brann,Tromsø,3,1,16557,Brann stadion
2025-04-06,2,Haugesund,Strømsgodset,0,5,6066,Haugesund Sparebank Arena
2025-04-06,2,Kristiansund,Bryne,2,1,2917,Nordmøre stadion
2025-04-06,2,Sandefjord Fotball,Molde,3,0,4640,Jotun Arena
2025-04-06,2,Sarpsborg 08,Vålerenga,1,1,7233,Sarpsborg st KG
2025-04-06,2,Viking,KFUM,3,1,12612,Lyse Arena
2025-04-09,17,Fredrikstad,Vålerenga,2,0,10010,Fredrikstad stadion
2025-04-10,16,Viking,Kristiansund,3,1,9644,Lyse Arena
2025-04-10,17,Brann,Strømsgodset,2,1,14606,Brann stadion
2025-04-20,3,Tromsø,Kristiansund,2,3,3632,Romssa Arena
2025-04-21,3,Vålerenga,Rosenborg,0,2,16556,Intility Arena
2025-04-21,3,Bryne,Haugesund,3,1,3643,Bryne stadion
2025-04-21,3,Fredrikstad,Sandefjord Fotball,3,1,8880,Fredrikstad stadion
2025-04-21,3,HamKam,Viking,2,5,3917,Briskeby
2025-04-21,3,KFUM,Sarpsborg 08,1,3,1898,KFUM-Arena
2025-04-21,3,Strømsgodset,Brann,1,2,6507,Marienlyst stadion
2025-04-21,3,Molde,Bodø/Glimt,2,2,6940,Aker stadion
2025-04-27,4,Rosenborg,Molde,0,0,21263,Lerkendal stadion
2025-04-27,4,Bodø/Glimt,KFUM,3,0,5910,Aspmyra stadion
2025-04-27,4,Brann,Bryne,3,2,15707,Brann stadion
2025-04-27,4,Haugesund,Fredrikstad,0,0,3058,Haugesund Sparebank Arena
2025-04-27,4,Kristiansund,Vålerenga,0,2,3181,Nordmøre stadion
2025-04-27,4,Sandefjord Fotball,HamKam,2,0,3408,Jotun Arena
2025-04-27,4,Sarpsborg 08,Strømsgodset,2,3,4435,Sarpsborg st KG
2025-04-27,4,Viking,Tromsø,4,4,10151,Lyse Arena
2025-04-30,18,Viking,Haugesund,5,1,12158,Lyse Arena
