dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2024-07-19,1,AGF,FC Midtjylland,1,1,12456,Ceres Park
2024-07-19,1,FC Nordsjælland,AaB,3,0,3934,Right to Dream Park
2024-07-21,1,Silkeborg IF,SønderjyskE,1,0,4394,JYSK Park
2024-07-21,1,Vejle Boldklub,Randers FC,2,3,7040,Vejle Stadion
2024-07-21,1,Viborg FF,Brøndby IF,3,3,7658,Energi Viborg Arena
2024-07-22,1,Lyngby Boldklub,FC København,0,2,9614,Lyngby Stadion
2024-07-26,2,SønderjyskE,Lyngby Boldklub,1,1,5045,AL Sydbank Park
2024-07-27,2,FC Nordsjælland,FC Midtjylland,2,2,4566,Right to Dream Park
2024-07-28,2,Randers FC,Viborg FF,3,1,5695,Cepheus Park Randers
2024-07-28,2,AaB,Silkeborg IF,2,1,9439,Aalborg Portland Park
2024-07-28,2,FC København,AGF,3,2,28283,Parken
2024-07-29,2,Brøndby IF,Vejle Boldklub,2,1,22494,Brøndby Stadion
2024-08-02,3,AGF,SønderjyskE,4,0,11218,Ceres Park
2024-08-03,3,FC Midtjylland,AaB,2,0,8706,MCH Arena
2024-08-04,3,Silkeborg IF,Viborg FF,3,2,4712,JYSK Park
2024-08-04,3,FC København,Randers FC,1,1,25819,Parken
2024-08-04,3,Lyngby Boldklub,Brøndby IF,0,2,7839,Lyngby Stadion
2024-08-05,3,Vejle Boldklub,FC Nordsjælland,0,1,6898,Vejle Stadion
2024-08-09,4,FC Midtjylland,Vejle Boldklub,2,0,8510,MCH Arena
2024-08-11,4,Randers FC,Silkeborg IF,0,2,4558,Cepheus Park Randers
2024-08-11,4,FC Nordsjælland,Lyngby Boldklub,1,1,4334,Right to Dream Park
2024-08-11,4,Brøndby IF,AGF,0,1,20976,Brøndby Stadion
2024-08-11,4,SønderjyskE,FC København,0,2,7912,AL Sydbank Park
2024-08-12,4,Viborg FF,AaB,2,3,6852,Energi Viborg Arena
2024-08-16,5,Lyngby Boldklub,FC Midtjylland,1,2,4149,Lyngby Stadion
2024-08-18,5,Silkeborg IF,FC Nordsjælland,4,1,4473,JYSK Park
2024-08-18,5,Randers FC,SønderjyskE,1,2,4261,Cepheus Park Randers
2024-08-18,5,FC København,Viborg FF,1,1,26035,Parken
2024-08-18,5,AaB,Brøndby IF,0,4,11723,Aalborg Portland Park
2024-08-19,5,AGF,Vejle Boldklub,5,1,11564,Ceres Park
2024-08-23,6,AaB,AGF,0,4,9499,Aalborg Portland Park
2024-08-24,6,FC Midtjylland,SønderjyskE,3,2,7331,MCH Arena
2024-08-25,6,Vejle Boldklub,Silkeborg IF,1,3,7363,Vejle Stadion
2024-08-25,6,FC Nordsjælland,FC København,3,2,8612,Right to Dream Park
2024-08-25,6,Brøndby IF,Randers FC,2,2,21797,Brøndby Stadion
2024-08-26,6,Viborg FF,Lyngby Boldklub,1,0,5816,Energi Viborg Arena
2024-08-30,7,Lyngby Boldklub,Vejle Boldklub,1,0,4623,Lyngby Stadion
2024-08-31,7,AGF,FC Nordsjælland,4,2,14280,Ceres Park
2024-09-01,7,FC København,Brøndby IF,3,1,34236,Parken
2024-09-01,7,SønderjyskE,Viborg FF,2,2,4879,AL Sydbank Park
2024-09-01,7,Silkeborg IF,FC Midtjylland,1,3,7924,JYSK Park
2024-09-01,7,Randers FC,AaB,1,0,5669,Cepheus Park Randers
2024-09-13,8,AaB,Lyngby Boldklub,2,1,7811,Aalborg Portland Park
2024-09-14,8,FC Midtjylland,FC København,2,1,11599,MCH Arena
2024-09-15,8,AGF,Silkeborg IF,1,1,15627,Ceres Park
2024-09-15,8,Vejle Boldklub,Viborg FF,0,5,5496,Vejle Stadion
2024-09-15,8,Brøndby IF,SønderjyskE,2,0,22566,Brøndby Stadion
2024-09-16,8,FC Nordsjælland,Randers FC,1,1,3158,Right to Dream Park
2024-09-20,9,Viborg FF,FC Nordsjælland,3,2,6290,Energi Viborg Arena
2024-09-22,9,Randers FC,FC Midtjylland,2,2,5808,Cepheus Park Randers
2024-09-22,9,SønderjyskE,Vejle Boldklub,2,1,5501,AL Sydbank Park
2024-09-22,9,Lyngby Boldklub,AGF,0,0,7115,Lyngby Stadion
2024-09-22,9,Silkeborg IF,Brøndby IF,3,3,7239,JYSK Park
2024-09-23,9,FC København,AaB,2,0,24699,Parken
2024-09-28,10,AGF,Randers FC,2,2,13280,Ceres Park
2024-09-29,10,FC Midtjylland,Viborg FF,3,1,11355,MCH Arena
2024-09-29,10,AaB,SønderjyskE,3,0,6802,Aalborg Portland Park
2024-09-29,10,Lyngby Boldklub,Silkeborg IF,2,2,4347,Lyngby Stadion
2024-09-29,10,Vejle Boldklub,FC København,1,2,9063,Vejle Stadion
2024-09-30,10,FC Nordsjælland,Brøndby IF,4,1,7074,Right to Dream Park
2024-10-04,11,Vejle Boldklub,AaB,2,2,6481,Vejle Stadion
2024-10-06,11,SønderjyskE,FC Nordsjælland,1,4,5548,AL Sydbank Park
2024-10-06,11,Randers FC,Lyngby Boldklub,1,1,6251,Cepheus Park Randers
2024-10-06,11,Viborg FF,AGF,1,1,8351,Energi Viborg Arena
2024-10-06,11,Brøndby IF,FC Midtjylland,2,0,23274,Brøndby Stadion
2024-10-06,11,Silkeborg IF,FC København,2,2,5468,JYSK Park
2024-10-18,12,FC København,Vejle Boldklub,3,1,27799,Parken
2024-10-20,12,Lyngby Boldklub,Viborg FF,0,0,4425,Lyngby Stadion
2024-10-20,12,AaB,Randers FC,0,2,7965,Aalborg Portland Park
2024-10-20,12,FC Nordsjælland,Silkeborg IF,1,1,4752,Right to Dream Park
2024-10-20,12,SønderjyskE,FC Midtjylland,3,2,5211,AL Sydbank Park
2024-10-21,12,AGF,Brøndby IF,1,0,15736,Ceres Park
2024-10-25,13,Silkeborg IF,AaB,1,1,5123,JYSK Park
2024-10-27,13,Brøndby IF,FC København,0,0,26075,Brøndby Stadion
2024-10-27,13,Vejle Boldklub,Lyngby Boldklub,2,0,5906,Vejle Stadion
2024-10-27,13,Viborg FF,SønderjyskE,4,2,6227,Energi Viborg Arena
2024-10-27,13,FC Midtjylland,AGF,2,0,11180,MCH Arena
2024-10-28,13,Randers FC,FC Nordsjælland,4,0,4364,Cepheus Park Randers
2024-11-02,14,SønderjyskE,Randers FC,1,4,3375,AL Sydbank Park
2024-11-03,14,FC Nordsjælland,Viborg FF,2,1,3413,Right to Dream Park
2024-11-03,14,FC Midtjylland,Brøndby IF,1,5,11362,MCH Arena
2024-11-03,14,AGF,Lyngby Boldklub,2,1,10838,Ceres Park
2024-11-03,14,AaB,Vejle Boldklub,3,3,6831,Aalborg Portland Park
2024-11-04,14,FC København,Silkeborg IF,2,2,20785,Parken
2024-11-08,15,Vejle Boldklub,SønderjyskE,1,1,6206,Vejle Stadion
2024-11-10,15,Silkeborg IF,Randers FC,1,0,5127,JYSK Park
